Date,TV_m,d_oil,d_ex,i,d_gold,DSI,covid,cov_DSI,r_wsale,r_retail,r_gas,r_indsmanu,r_agri,r_finan,r_estate,li_wsale,li_retail,li_gas,li_indsmanu,li_agri,li_finan,li_estate,tv_wsale,tv_retail,tv_gas,tv_indsmanu,tv_agri,tv_finan,tv_estate,me_wsale,me_retail,me_gas,me_indsmanu,me_agri,me_finan,me_estate,mtb_wsale,mtb_retail,mtb_gas,mtb_indsmanu,mtb_agri,mtb_finan,mtb_estate
1/31/2020,19.42093,-0.33000,5.50000,4.87000,"1,175,000",-1.60716,2,0.00201,-0.0083,-0.0162,0.01791,-0.01712,0.00412,-0.01537,-0.02126,0.00737,0.00416,0.00002,0.00490,0.00400,0.00238,0.00381,15.80473,15.12246,6.84588,17.58222,16.09026,18.18174,18.29651,29.51878,30.35938,27.77081,33.23738,30.74201,34.48794,34.51629,0.70103,1.41008,1.19991,0.97218,0.81686,0.91062,0.82946
2/3/2020,19.52518,-3.41000,2.50000,4.87000,"-350,000",-1.78083,6,0.25145,-0.0144,-0.0048,-0.00324,-0.01774,-0.05534,-0.01119,-0.02149,0.00576,0.00531,0.00001,0.00602,0.00417,0.00289,0.00348,15.55895,15.36631,6.36303,17.78779,16.13158,18.37593,18.20690,29.49693,30.33907,27.76487,33.22462,30.72081,34.49371,34.50162,0.69396,1.40936,1.19478,0.96117,0.77892,0.90198,0.81353
2/4/2020,19.12551,-1.16000,2.50000,4.89000,"-350,000",-1.97315,8,0.00201,-0.0104,0.0043,-0.00009,0.00047,-0.00267,0.01662,-0.00403,0.00726,0.00273,0.00000,0.00445,0.00230,0.00182,0.00237,15.78961,14.69923,3.91202,17.48509,15.53870,17.91136,17.82221,29.48519,30.32731,27.77270,33.20934,30.72137,34.51287,34.50086,0.68786,1.38960,1.19944,0.96044,0.79659,0.91495,0.81101
2/5/2020,19.11570,-0.20000,-5.00000,4.89000,"-500,000",-2.33182,8,0.00201,0.0044,0.0126,0.01508,-0.00234,-0.01895,0.00584,-0.00115,0.00420,0.00283,0.00000,0.00343,0.00165,0.00211,0.00252,15.24268,14.73459,2.30259,17.22650,15.20418,18.06218,17.88367,29.49130,30.34067,27.78118,33.18938,30.67661,34.50820,34.50157,0.69090,1.40332,1.21711,0.96051,0.76897,0.91725,0.80935
2/6/2020,19.22074,1.45000,2.50000,4.85000,"125,000",-2.10212,8,0.25145,0.0237,0.0169,-0.04560,0.01114,0.02351,0.01582,0.01451,0.00386,0.00285,0.00001,0.00358,0.00318,0.00258,0.00245,15.15957,14.74438,6.13123,17.26717,15.86476,18.26164,17.85686,29.51464,30.34702,27.72417,33.18844,30.74098,34.52497,34.50954,0.70455,1.41180,1.16158,0.97047,0.78727,0.93184,0.81916
2/7/2020,19.09457,-0.58000,0.00000,4.62000,"175,000",-1.74056,10,0.00201,0.0185,0.0161,-0.00070,0.00349,-0.00715,-0.00620,0.00632,0.00795,0.00318,0.00001,0.00348,0.00143,0.00215,0.00197,15.88039,14.85252,6.23441,17.24014,15.06803,18.07943,17.63747,29.53125,30.35244,27.72879,33.19397,30.74066,34.51708,34.51545,0.71801,1.41762,1.16400,0.97903,0.78298,0.92801,0.82355
2/10/2020,18.91196,-0.84000,5.00000,5.02000,"225,000",-1.90933,13,0.00402,0.0095,-0.0067,0.04481,-0.00374,-0.01715,-0.00792,-0.00368,0.00602,0.00335,0.01337,0.00296,0.00109,0.00165,0.00205,15.60323,14.90438,13.25926,17.07847,14.79603,17.81463,17.67841,29.54181,30.33526,27.76294,33.19352,30.73810,34.49469,34.50700,0.73184,1.40929,1.21056,0.97502,0.77501,0.91500,0.81945
2/11/2020,18.96954,0.30000,3.50000,4.35000,0,-1.94855,14,0.00402,-0.0041,-0.0121,-0.01724,0.00221,-0.00586,0.01027,0.00542,0.00405,0.00232,0.00001,0.00378,0.00111,0.00169,0.00205,15.20556,14.53725,5.66988,17.32355,14.81285,17.84319,17.67964,29.54271,30.33707,27.75277,33.18842,30.73641,34.51120,34.50778,0.73083,1.39689,1.19658,0.97641,0.76882,0.92371,0.82234
2/12/2020,19.30069,1.24000,0.00000,4.99000,0,-1.37779,15,0.00201,-0.0023,0.0004,-0.02245,0.00796,0.00686,0.00916,0.01229,0.00553,0.00372,0.00001,0.00395,0.00174,0.00324,0.00229,15.51804,15.00937,6.38012,17.36584,15.26432,18.49159,17.78981,29.54206,30.34133,27.73212,33.18451,30.74263,34.51676,34.50873,0.72895,1.39626,1.17793,0.98046,0.77076,0.93146,0.83310
2/13/2020,19.07961,1.00000,-6.00000,4.76000,"50,000",-1.18622,15,0.00402,0.0035,0.0188,-0.00447,0.00326,0.00591,0.00288,-0.00391,0.00592,0.00898,0.00001,0.00287,0.00127,0.00226,0.00192,15.58613,15.89090,6.17379,17.04582,14.94478,18.13239,17.61133,29.55417,30.35571,27.72693,33.19051,30.74002,34.51625,34.50929,0.72779,1.41825,1.16121,0.98614,0.77137,0.93268,0.83080
2/14/2020,19.17749,-0.82000,4.50000,4.67000,"180,000",-1.19846,16,0.00201,0.0046,0.0054,0.00748,-0.00076,0.01298,0.00750,-0.00444,0.00478,0.00983,0.00001,0.00325,0.00105,0.00268,0.00197,15.37152,15.98183,5.88610,17.17111,14.76098,18.30133,17.63893,29.55989,30.35706,27.74044,33.18786,30.74180,34.51929,34.50559,0.73193,1.42487,1.17248,0.98756,0.78213,0.93807,0.82888
2/17/2020,19.05800,0.93000,2.00000,4.86000,"-30,000",-1.41915,16,0.00201,-0.0030,0.0070,-0.05353,-0.00435,-0.00398,0.00315,0.00046,0.00420,0.00386,0.00000,0.00378,0.00556,0.00172,0.00195,15.24390,15.04686,3.91202,17.32340,16.42412,17.85828,17.62740,29.56040,30.35316,27.67781,33.17844,30.73466,34.52717,34.49537,0.73006,1.42336,1.10311,0.98785,0.77617,0.94227,0.82856
2/18/2020,19.12552,-0.10000,-2.50000,4.96000,0,-1.80681,16,0.00201,0.0014,0.0016,0.02096,0.00270,-0.00302,0.00113,0.00626,0.00534,0.00355,0.00000,0.00330,0.00114,0.00223,0.00249,15.48271,14.96274,5.29832,17.18688,14.84124,18.11988,17.87312,29.56610,30.34790,27.71063,33.15663,30.73539,34.52911,34.48034,0.72833,1.40881,1.13050,0.99528,0.77720,0.94379,0.83021
2/19/2020,19.11016,0.65000,7.50000,4.58000,"650,000",-1.54784,16,0.00201,0.0125,0.0083,0.00706,0.00240,-0.00734,0.00061,0.00775,0.00424,0.01188,0.00017,0.00288,0.00110,0.00156,0.00281,15.25252,16.17075,8.87066,17.04937,14.79899,17.76091,17.99279,29.57975,30.35841,27.71466,33.16077,30.73276,34.52709,34.48372,0.73584,1.39733,1.13609,0.99987,0.76333,0.94497,0.83485
2/20/2020,19.12807,1.90000,3.00000,5.04000,0,-0.93679,16,0.00201,-0.0084,0.0109,0.02206,0.00594,0.01151,0.00119,0.00895,0.00533,0.00525,0.00059,0.00419,0.00182,0.00167,0.00237,15.48200,15.35451,10.14447,17.42533,15.30870,17.83436,17.82169,29.56088,30.36306,27.72733,33.17063,30.73445,34.52892,34.50552,0.72757,1.40567,1.15287,1.00144,0.77370,0.94627,0.84260
2/21/2020,19.17411,-0.54000,2.50000,4.93000,"225,000",-0.27015,16,0.00201,-0.0007,-0.0121,-0.01342,-0.00174,-0.00542,-0.01016,-0.00264,0.00596,0.00659,0.00101,0.00280,0.00125,0.00251,0.00224,15.59309,15.58213,10.68052,17.02270,14.93473,18.23938,17.76739,29.55838,30.36727,27.72656,33.16640,30.73820,34.51523,34.50057,0.72369,1.37957,1.14625,0.99968,0.77447,0.93644,0.83988
2/24/2020,19.58072,-2.31000,0.00000,4.83000,"3,300,000",-0.23722,16,0.00201,-0.0184,-0.0219,0.00433,-0.01983,-0.03724,-0.03373,-0.03038,0.00668,0.00778,0.00003,0.00571,0.00331,0.00336,0.00376,15.70659,15.74816,7.01212,17.73485,15.90388,18.53206,18.28511,29.53514,30.34574,27.72989,33.14467,30.71734,34.46986,34.47163,0.71388,1.34678,1.15007,0.98047,0.76122,0.89997,0.81472
2/25/2020,19.30011,-0.15000,3.00000,4.72000,"-1,250,000",-0.33136,16,0.00201,-0.0035,-0.0032,0.02295,0.00413,0.00243,0.00935,0.00752,0.00775,0.00590,0.00125,0.00322,0.00433,0.00285,0.00239,15.85562,15.47027,10.88781,17.16143,16.17267,18.36586,17.83340,29.53388,30.34435,27.74306,33.15172,30.71962,34.49291,34.46780,0.71242,1.31475,1.16778,0.99035,0.75786,0.91004,0.82124
2/26/2020,19.00612,-1.22000,-3.00000,5.18000,"-200,000",-1.14127,16,0.00201,-0.0006,-0.0097,0.01356,-0.00349,-0.00326,-0.00793,-0.00893,0.00491,0.00318,0.00005,0.00183,0.00092,0.00238,0.00177,15.39865,14.85389,7.57044,16.59783,14.62273,18.18638,17.52948,29.53281,30.33177,27.75128,33.14500,30.71473,34.47834,34.45253,0.71749,1.28493,1.17896,0.99347,0.76580,0.89991,0.81203
2/27/2020,19.01601,-2.62000,-2.50000,4.36000,"-400,000",-1.38119,16,0.00201,0.0084,0.0045,-0.00760,0.00760,0.01164,0.01630,0.01116,0.00520,0.00719,0.00001,0.00225,0.00168,0.00212,0.00188,15.45569,15.66808,5.56068,16.80320,15.22632,18.07225,17.59350,29.54359,30.32470,27.74649,33.13897,30.71950,34.48337,34.45380,0.72274,1.25952,1.17244,1.00051,0.76871,0.91132,0.81915
2/28/2020,19.45039,-1.86000,-5.00000,4.22000,"-250,000",-1.11382,16,0.00201,-0.0035,0.0056,-0.01067,-0.00799,-0.00306,-0.01010,-0.01082,0.00744,0.00568,0.00012,0.00314,0.00308,0.00349,0.00300,15.81442,15.43277,8.56598,17.13649,15.83210,18.56926,18.05967,29.54150,30.32215,27.73624,33.10217,30.71903,34.46116,34.44727,0.71931,1.28472,1.15894,0.99661,0.77037,0.89664,0.81179
3/2/2020,19.41623,-5.71000,-2.50000,5.35000,"-550,000",-0.89410,16,0.00201,0.0071,0.0038,-0.02670,0.00134,-0.01599,0.01165,0.00364,0.00538,0.01383,0.00016,0.00334,0.00185,0.00395,0.00216,15.49019,16.32301,8.84937,17.19769,15.32108,18.70020,17.73129,29.55264,30.33243,27.71534,33.12074,30.71539,34.46280,34.44992,0.72475,1.30130,1.13425,1.00180,0.75211,0.90253,0.81405
3/3/2020,19.39416,7.93000,-5.50000,4.51000,"250,000",-1.39746,16,0.00201,0.0177,0.0018,0.02524,0.00667,0.02203,0.01135,0.01129,0.00732,0.00227,0.00000,0.00323,0.00226,0.00322,0.00346,15.79782,14.51370,4.60517,17.16453,15.52439,18.49660,18.20184,29.58018,30.34053,27.73767,33.12291,30.72150,34.47903,34.45195,0.74370,1.30332,1.15838,1.01256,0.77143,0.91101,0.82001
3/4/2020,19.49918,-0.69000,-2.50000,5.02000,"1,075,000",-1.29883,16,0.00201,0.0170,0.0095,-0.02147,0.00426,0.00561,0.01167,0.00512,0.00833,0.00197,0.00106,0.00311,0.00601,0.00352,0.00360,15.92800,14.37557,10.72261,17.12713,16.50087,18.58715,18.23962,29.59340,30.33561,27.72444,33.12074,30.72843,34.47678,34.45277,0.76335,1.30040,1.14067,1.02212,0.76178,0.91847,0.82153
3/5/2020,19.53015,-0.59000,-0.50000,4.90000,"-375,000",-0.92332,16,0.00201,-0.0073,-0.0063,0.02027,0.00110,-0.00244,-0.00172,0.00117,0.00580,0.00374,0.00044,0.00264,0.00274,0.00386,0.00343,15.56538,15.01526,9.84108,16.96492,15.71605,18.67898,18.19384,29.58906,30.33980,27.73277,33.12177,30.72478,34.48364,34.45523,0.75793,1.29516,1.15428,1.02910,0.76350,0.91851,0.82167
3/6/2020,19.26653,-2.01000,-3.00000,4.97000,0,-0.92865,16,0.00201,0.0132,0.0069,-0.01695,0.00594,0.00195,-0.00417,0.00365,0.00538,0.00327,0.00036,0.00354,0.00217,0.00220,0.00327,15.48996,14.88108,9.64601,17.25759,15.48286,18.11730,18.14525,29.60173,30.34105,27.72228,33.10636,30.72951,34.48591,34.45137,0.78020,1.27970,1.14030,1.02808,0.76187,0.91688,0.82186
3/9/2020,19.61470,-15.62000,-1.00000,4.93000,"1,075,000",-1.02144,30,0.00201,-0.0332,-0.0188,-0.00333,-0.03880,-0.04757,-0.05835,-0.04570,0.00651,0.02600,0.00002,0.00568,0.00281,0.00316,0.00380,15.68059,16.95415,6.93731,17.72984,15.73917,18.47932,18.29408,29.56891,30.29399,27.72040,33.05240,30.70110,34.41433,34.38581,0.78305,1.23463,1.13658,0.99951,0.74164,0.86371,0.78492
3/10/2020,19.51582,2.09000,-2.50000,4.08000,"-350,000",-1.32121,30,0.00402,0.0131,0.0088,-0.02189,0.00410,-0.00563,0.00751,0.00049,0.00822,0.00291,0.00000,0.00375,0.00203,0.00295,0.00379,15.91450,14.76275,4.49981,17.31478,15.41719,18.41057,18.29348,29.57968,30.30239,27.68587,33.05857,30.70085,34.41618,34.39027,0.80758,1.22990,1.10538,1.01025,0.72900,0.86561,0.78510
3/11/2020,19.66250,2.09000,4.00000,3.92000,"-275,000",-1.94094,31,0.51297,-0.0123,-0.0181,0.00319,-0.01619,-0.01595,-0.02338,-0.01904,0.00834,0.01538,0.00001,0.00448,0.00320,0.00317,0.00445,15.92909,16.42915,6.13123,17.49299,15.87050,18.48294,18.45315,29.55921,30.28903,27.68809,33.03069,30.69611,34.36710,34.37646,0.80395,1.20401,1.10579,0.99831,0.73235,0.83923,0.77085
3/12/2020,19.71182,-4.61000,-0.50000,4.50000,"-200,000",-2.11390,38,0.00402,-0.0302,-0.0377,-0.05542,-0.02658,-0.03248,-0.04475,-0.03547,0.00664,0.01310,0.00010,0.00576,0.00478,0.00338,0.00427,15.70085,16.26874,8.38023,17.74431,16.27249,18.54565,18.41234,29.53440,30.24622,27.62473,32.98358,30.67732,34.30154,34.32276,0.80472,1.14759,1.04366,0.97876,0.72689,0.80020,0.74271
3/13/2020,19.75438,-1.17000,7.50000,4.31000,"-750,000",-1.98777,39,0.55119,-0.0287,-0.0034,-0.05709,-0.01060,-0.02857,-0.00944,-0.01624,0.00830,0.00511,0.00017,0.00531,0.00427,0.00427,0.00390,15.92426,15.32786,8.87766,17.66164,16.16038,18.77938,18.32112,29.48547,30.22354,27.57313,32.97181,30.66744,34.28874,34.32096,0.74151,1.13956,0.98673,0.96595,0.69985,0.79036,0.73510
3/16/2020,19.51098,0.15000,5.50000,3.92000,"150,000",-2.26267,56,0.45664,0.0023,0.0028,0.02535,-0.00356,0.00487,-0.02499,-0.00882,0.00665,0.00135,0.00016,0.00480,0.00167,0.00258,0.00403,15.70256,13.99499,8.81730,17.56129,15.22062,18.27652,18.35476,29.49174,30.20711,27.61484,32.97968,30.66676,34.23640,34.31309,0.74834,1.12772,1.02162,0.96312,0.71384,0.76510,0.72671
